year,kes_per_usd,fx_lag,fx_depreciation_pct,inflation,reserves_usd,log_reserves,inflation_lag,reserves_lag,reserves_pct_change,fx_dep_z,reserves_change_z,inflation_z,fx_pressure
1991,27.5078666666667,22.9147666666667,20.044280034853767,20.0844955754632,145138376.123246,18.79319816340419,17.78181442992,236115155.443087,-38.5306818400185,1.1351239656064696,-0.8741952188707982,1.1999942494367986,3.2093134339140663
1992,32.2168333333333,27.5078666666667,17.11861818922075,27.3323644475784,79549253.3971221,18.19188692737558,20.0844955754632,145138376.123246,-45.19075139054065,0.902003925922509,-0.9762400304944137,2.1167591747337484,3.9950031311506713
1993,58.0013333333333,32.2168333333333,80.03424710684382,45.9788813036218,436745055.962517,19.894860186851442,27.3323644475784,79549253.3971221,449.0247077269457,5.915192285988843,6.596071796664912,4.475310761993652,3.794431251317582
1994,56.050575,58.0013333333333,-3.3632991195604096,28.8143894306731,588142007.171739,20.19247898549982,45.9788813036218,436745055.962517,34.66483458537774,-0.7300183745882884,0.24729797705794856,2.304216832548482,1.3269004809022449
1995,51.4298333333333,56.050575,-8.243879151403357,1.55432816055009,384262966.053888,19.766837683610387,28.8143894306731,588142007.171739,-34.66493442600127,-1.1189085029543708,-0.814964686268186,-1.1438405861008811,-1.4477844027870659
1996,57.1148666666667,51.4298333333333,11.05396025004956,8.86408741577522,775927062.16745,20.469569081677708,1.55432816055009,384262966.053888,101.92605864043531,0.41876513277232663,1.277866634968441,-0.21924730001960907,-1.0783488022157235
1997,58.7318416666667,57.1148666666667,2.831093013727896,11.3618450505783,811092756.22234,20.513892978193567,8.86408741577522,775927062.16745,4.532087585224738,-0.2364422143476163,-0.21439247046772453,0.09668785718086415,0.07463811330097236
1998,60.3667,58.7318416666667,2.783597937575254,6.72243650753928,783051364.305175,20.47870885117157,11.3618450505783,811092756.22234,-3.4572361424811224,-0.24022667564960282,-0.3368039601089865,-0.4901394021732282,-0.39356211771384453
1999,70.3262166666667,60.3667,16.49836195562569,5.74200109520484,791589617.767127,20.489553656102792,6.72243650753928,783051364.305175,1.0903822981686955,0.8525812088010027,-0.2671258788829716,-0.6141522414514526,0.5055548462325217
2000,76.1755416666667,70.3262166666667,8.317417425886466,9.98002515350979,897865882.028211,20.615531263250695,5.74200109520484,791589617.767127,13.425676875457546,0.20071431028305572,-0.0781259289706526,-0.07809510827587036,0.20074513097783797
2001,78.563195,76.1755416666667,3.134409393216159,5.73859814341467,1064987676.82776,20.786229064987108,9.98002515350979,897865882.028211,18.613224774955643,-0.21227362270786718,0.0013570770515989098,-0.6145826723682848,-0.8282133721277509
2002,78.7491416666667,78.563195,0.23668419629154455,1.96130821739162,1068140537.34882,20.789185158105226,5.73859814341467,1064987676.82776,0.2960466669859787,-0.443167638675088,-0.2792965971067191,-1.0923626899094747,-1.2562337314778436
2003,75.9355694444445,78.7491416666667,-3.572829065403195,9.81569062979654,1482117158.64118,21.116737415109423,1.96130821739162,1068140537.34882,38.75675595272055,-0.7467139572861855,0.30999392068760756,-0.09888137386840991,-1.155589251842203
2004,79.1738760642135,75.9355694444445,4.264545118263971,11.6240355442426,1519538696.93683,21.141672636885186,9.81569062979654,1482117158.64118,2.524870458281345,-0.12222313192245518,-0.24514681800912144,0.12985168127576324,0.2527753673624295
2005,75.5541094514311,79.1738760642135,-4.571920427195719,10.3127783574683,1799087912.82813,21.31054565832957,11.6240355442426,1519538696.93683,18.396979060476095,-0.8263226852246606,-0.0019562146537031194,-0.03600598227871113,-0.8603724528496686
2006,72.1008350178622,75.5541094514311,-4.570597759197726,14.4537342081708,2416073242.93319,21.60540943234307,10.3127783574683,1799087912.82813,34.29434024350546,-0.8262172935449484,0.2416213058104226,0.48777323449668136,-0.5800653648586895
2007,67.3176381242857,72.1008350178622,-6.634038138936278,9.75888023027529,3355419015.79063,21.933842492504706,14.4537342081708,2416073242.93319,38.879027182017225,-0.9906345531568701,0.3118673462525986,-0.1060671801505246,-1.4085690795599932
